block_id,work_id,block_type,block_text,pdf_page,pdf_bbox,block_seq,parent_title_block_id,title_level
2016408810175991972,W1006361424,text,"Can altruism be bought? Prior literature, dating back to Olson (1971), emphasizes the importance of “selective incentives” or private goods in encouraging individual contributions to group goals. On the other hand, Titmuss (1970) famously argued that paying for blood donations would undermine social norms of generosity and reduce giving. Existing evidence is mixed. Some studies, many in the laboratory, suggest that explicit monetary incentives may have minimal or even perverse effects.1 But a series of results from field experiments document strong positive effects of incentives (Goette and Stutzer, 2008; Lacetera et al., 2014a). ",0,"[70, 616, 494, 749]",11,2016408810175991971,
2016408810175991973,W1006361424,text,"Organ donations are a policy area where these theoretical questions are especially pressing. Earlier qualitative research generally confirms that non-monetary selective incentives, such as the development of emotional and associative bonds between donors and donees, can contribute importantly to expanding the donor base.2 ",0,"[70, 750, 494, 814]",12,2016408810175991971,
2016408810175991974,W1006361424,text,"Perhaps inspired by these efforts, a number of U.S. states have enacted tax incentives for living organ donors. ",0,"[522, 590, 946, 616]",13,2016408810175991971,
2016408810175991975,W1006361424,text,"In four previous studies, however, researchers employing difference-in-differences (DiD) methods did not find any evidence that these incentives affected kidney donations, which comprise the large majority of demand for and supply of donations. Wellington and Sayre (2011) report that state legislation is not associated with overall living donations. Venkataramani et al. (2012) find no statistically significant contemporaneous or lagged effects of tax policy on donation rates, or differential effects by gender, race or donor relationship. They hypothesize that the statistically indistinguishable effects may stem from low cash value of the tax deduction to defray costs faced by donors, lack of public awareness and a depletion of organ donor pools in the prelegislation period. ",0,"[524, 617, 947, 788]",14,2016408810175991971,
2016408810175991976,W1006361424,text,"Accounting for state fixed-effects and state-specific linear trends, Lacetera et al. (2014b) find significant effects for bone marrow but not other organs. Boulware et al. (2008) find that state legislation and federal policies are not associated with living related or overall donations. They do find a positive effect on living unrelated kidney donations when pooling together all state legislation, but do not separately analyze monetary incentives. ",0,"[522, 789, 947, 894]",15,2016408810175991971,
2016408810175991977,W1006361424,discarded,Contents lists available at ScienceDirect HOURLLE ECOOMOICS Journal of Health Economics w j ou rnal homepage: www.elsevier.com/locate/econbase ,0,"[68, 68, 954, 171]",16,2016408810175991971,
2016408810175991978,W1006361424,discarded,∗ Corresponding author. Tel.: +90 5323640004 E-mail address: firat.bilgel@okan.edu.tr (F. Bilgel). 1 Gneezy et al. (2011) offer a review. 2 See Healy (2010) for a review. ,0,"[77, 851, 342, 894]",17,2016408810175991971,
2016408810175991979,W1006361424,discarded,http://dx.doi.org/10.1016/j.jhealeco.2015.06.007 0167-6296/© 2015 Elsevier B.V. All rights reserved. ,0,"[68, 905, 331, 926]",18,2016408810175991971,
2016408810175991980,W1006361424,discarded,CrossMark ,0,"[848, 208, 947, 238]",19,2016408810175991971,
2016408810175991981,W1006361424,discarded,Journal of Health Economics 43 (2015) 103–117 ,0,"[386, 45, 631, 54]",20,2016408810175991971,
2016408810175991982,W1006361424,text,"While all four studies largely reach a consensus, they share a number of methodological and data issues in the identification of causal effects of the law that leave their conclusions open to question. Pooling cross-section and time-series data may cloud any potentially significant effect one might have observed if these effects were analyzed by a state-by-state pure time-series analysis. On the other hand, a pure time-series analysis of the law and kidney donations would be contaminated by structural shocks. ",1,"[52, 68, 475, 172]",21,2016408810175991971,
2016408810175991983,W1006361424,text,"Additionally, compositional differences and non-parallel trends may pose threats to the validity of DiD estimation. That is, the distribution of the law and the covariates that are thought to affect kidney donation rates may not be similar for the pre- and postlegislation periods or the treatment (i.e. states that passed the legislation) and control states (i.e. no legislation) may not have experienced the same trends in the absence of the law conditional on covariates. As Boulware et al. (2008) show graphically, the trend lines for enacting and non-enacting states cross prior to the enactment period (though Boulware et al. (2008) do not note the econometric significance of that fact). Further, there are good reasons to suspect that tax incentives tend to be enacted near the peak of public attention to the organ donation crisis, implying the likelihood of regression to the mean in enacting but not necessarily non-enacting states. ",1,"[53, 174, 475, 370]",22,2016408810175991971,
2016408810175991984,W1006361424,text,"The prior studies also face a set of other identification challenges. Each treats enactment of tax legislation as a binary variable, when in fact the real dollar value of the incentives states offer ranges from a few hundred to ten thousand dollars. In addition to failing to account for this variation, prior papers overlooked two states that enacted credits, not deductions. Next, 70 percent of all U.S. states have passed either a paid leave of absence and/or a tax deduction/credit legislation between the 1990s and 2010. For a state that enacted both forms of legislation, one may not be able to isolate the causal effect of one from the other. ",1,"[53, 372, 475, 501]",23,2016408810175991971,
2016408810175991985,W1006361424,text,"Lastly, the enactment of tax incentive legislation may not be exogenous to kidney donations. In this case, one should resort to an instrumental variable procedure where another variable should be found such that it moves around the covariate of interest (i.e. the law) in a way that can plausibly be viewed as random. We argue that finding such an exogenous source of variation – a plausible instrument for the enactment and value of each state’s tax incentive – is very difficult. ",1,"[52, 503, 475, 607]",24,2016408810175991971,
2016408810175991986,W1006361424,text,"We therefore propose another strategy that is robust to the above-mentioned problems provided that its identifying assumptions are met. We employ the synthetic control method (Abadie and Gardeazabal, 2003; Abadie et al., 2010, 2014) where we create a synthetic control group that replicates the pre-legislation living kidney donation rates of the states that enacted a tax incentive legislation by using a convex combination of other states that have not enacted any legislation. For the sake of completeness and for purposes of cross-validation we also perform (1) a DiD approach à la Bertrand et al. (2004) where the tax incentive legislation is captured by a binary variable, and (2) a limited information maximum likelihood (LIML) estimation where the real dollar value of the legislation is measured more accurately and captured through an endogenous treatment. ",1,"[52, 609, 475, 793]",25,2016408810175991971,
2016408810175991987,W1006361424,text,"We find no statistically significant causal effect of tax incentive policies on related or unrelated kidney donation rates via a DiD estimation or an instrumental variable procedure which accounts for the endogenous nature of the law. If anything, we find some weak evidence that enactment of tax incentives diminishes related donations. While in theory this could represent crowding-out of altruistic behavior by money incentives, we cannot rule out the possibility that instead we are observing mean regression. ",1,"[52, 794, 475, 899]",26,2016408810175991971,
2016408810175991988,W1006361424,text,"When we account for this problem through a synthetic control method that allows for unobservable state heterogeneity to vary over time, we find that the passage of tax incentive legislation increased living unrelated kidney donation rates by about 52 percent in New York relative to a comparable synthetic New York in the absence of legislation. We show that this causal effect is robust to the exclusion of any particular state as well as to the use of a very small number of comparison states. It is possible that New York is unique, but our methodology does not allow us to measure accurately effects in other states, so that we can neither rule out nor confirm the efficacy of tax incentives elsewhere, precluding the generalizability of our results. ",1,"[52, 899, 475, 938]",27,2016408810175991971,
2016408810175991989,W1006361424,text,,1,"[505, 68, 929, 185]",28,2016408810175991971,
2016408810175991990,W1006361424,text,"In short, our advances over prior literature are primarily to refine the methodological approach and the legal accuracy of the data. Our DiD techniques account for several possible aspects of endogeneity not accounted for in earlier papers, and accurately account for large variations in the value of the incentives offered. We also show reasons to believe DiD estimates will tend to produce spurious negative correlations, and when using methods robust to dropping the DiD assumptions find evidence that tax incentive legislation may increase donations. ",1,"[505, 186, 929, 303]",29,2016408810175991971,
2016408810175991991,W1006361424,text,"Section 2 discusses the background on state legislation, Section 3 introduces our empirical strategy where we respectively define tax incentive legislation as a binary treatment, a non-binary endogenous treatment and finally allow for heterogenous causal effects of the law, Section 4 discusses the findings of the analysis with respect to methodological differences and identification strategies and Section 5 concludes. ",1,"[505, 305, 929, 397]",30,2016408810175991971,
2016408810175991992,W1006361424,title,2. Background and prior literature,1,"[505, 426, 741, 438]",31,,1.0
2016408810175991993,W1006361424,title,2.1. Statutory background,1,"[505, 453, 668, 465]",32,2016408810175991992,2.0
2016408810175991994,W1006361424,text,"In 1984, the U.S. Congress enacted the National Organ Transplantation Act (NOTA).3 NOTA established a network of sub-national organ procurement organizations (OPO), each with jurisdiction spanning about one state on average. These OPOs have primary responsibility for soliciting organ donations and matching patients in need with eligible donors. ",1,"[505, 479, 929, 557]",33,2016408810175991993,
2016408810175991995,W1006361424,text,"NOTA also prohibited trade in organs, but at the time of its initial enactment it was unclear whether this prohibition extended to bar reimbursement of donor expenses. During the 1990s, state government interest in encouraging organ donation swelled, but NOTA was seen as a possible obstacle to reform. For example, in 2000 the Kansas Attorney General opined that NOTA prohibited a proposed law allowing tax deductions for expenses associated with organ donation (Calandrillo, 2004). Congress responded in 2000 by amending NOTA to clarify that reimbursements for lost wages, travel, and medical expenses associated with donating would not contravene the Act. ",1,"[505, 558, 929, 703]",34,2016408810175991993,
2016408810175991996,W1006361424,text,"Shortly thereafter, states began enacting moderate financial incentives for donations. Wisconsin was the first, in 2000 granting its own employee donors up to 30 days of paid time off. Thirty other states followed suit, most between 2001 and 2005. ",1,"[504, 704, 927, 755]",35,2016408810175991993,
2016408810175991997,W1006361424,text,"Wisconsin was also the first state to adopt a reimbursement law, enacting a $\$ 10,000$ tax deduction for NOTA-permitted expenses in 2004. Fourteen states followed, eight of them in 2005, and most similarly providing for a deduction against taxable income to the extent of covered expenses. The laws varied slightly in some details, such as whether undeducted expenses could be carried forward to another tax year; Idaho and Virginia provided for only a maximum $\$ 5000$ benefit. More significantly, Idaho, Louisiana and Utah allowed for a credit, rather than a deduction, greatly increasing the actual dollar value of the incentive. ",1,"[505, 756, 929, 887]",36,2016408810175991993,
2016408810175991998,W1006361424,discarded,"F. Bilgel, B. Galle / Journal of Health Economics 43 (2015) 103–117 ",1,"[327, 44, 653, 54]",37,2016408810175991993,
2016408810175991999,W1006361424,discarded,3 See Satel and Hippen (2007) for more details on NOTA. ,1,"[514, 928, 805, 938]",38,2016408810175991993,
2016408810175992000,W1006361424,discarded,,1,"[53, 45, 72, 52]",39,2016408810175991993,
2016408810175992001,W1006361424,text,"New York is of particular interest for methodological reasons we explain in more detail in Section 3.4. New York adopted paid leave of absence for state employees in 2001 and passed a resolution awarding a medal of recognition for living and deceased organ donors past and future in February of 2004. It then enacted a $\$ 10,000$ deduction for donations in 2006. ",2,"[70, 68, 494, 146]",40,2016408810175991993,
2016408810175992002,W1006361424,title,2.2. Prior literature,2,"[70, 160, 191, 172]",41,2016408810175991992,2.0
2016408810175992003,W1006361424,text,"Boulware et al. (2008) were the first to examine whether these state policies were effective in encouraging donations. Like others that followed, and us here, they focused on kidney donations. Kidneys are by far the most frequently donated and demanded organ: approximately two-thirds of all organ donation waiting lists are made up of patients awaiting kidneys. Boulware et al. (2008) pool together all the different state interventions, and find no significant effects of enactment on cadaveric or living related donations. They do, though, find a statistically significant impact of enactment, of about $2 6 \%$ , for living related donations. They also report that growth in donation rates overall dropped sharply after a state’s first enactment of any legislation, and that trends in end-stage renal disease between 1988 and 2005 appear to predict state enactment. ",2,"[70, 186, 494, 358]",42,2016408810175992002,
2016408810175992004,W1006361424,text,"Later studies aimed specifically at the effects of tax legislation found no significant effects. Wellington and Sayre (2011) find no significant impact of tax incentives. Venkataramani et al. (2012) further examine lags of the legislation and break out effects by demographic sub-groups, and still find no effects. Lacetera et al. (2014b) expand their analysis to include other organs as well as bone marrow, but find no effects for kidney or other organ donations. All three studies rely on DiD methods and OLS. Lacetera et al. (2014b) control for lags of factors that might lead to enactment of legislation, such as lagged ESRD rates, and include in their DiD regressions a full set of state-specific time trends and state fixed effects to ensure that the results are not contaminated by selection into adopting legislation based on pre-existing levels and growth rates of donations, but do not actually use instruments for enactment of the legislation. ",2,"[70, 359, 494, 554]",43,2016408810175992002,
2016408810175992005,W1006361424,text,"For the most part, these studies treat all tax incentives uniformly. Venkataramani et al. (2012) and Lacetera et al. (2014b) note that Idaho offers a tax credit instead of a tax deduction, and report that their results are robust to omitting Idaho. Wellington and Sayre (2011) provide an alternative specification in which they estimate the actual dollar value of a deduction by multiplying the maximum deduction amount by the top marginal tax rate in the state. They do not identify any states that grant credits. As we noted in section 2.1, in fact Louisiana and Utah also have credits. We also doubt that the Wellington and Sayre (2011) approach closely approximates the dollar value of the state incentive; only a portion of donors likely are in the top state bracket, not all donors itemize (and hence not all donors are even eligible to claim a deduction), and federal deductibility of state taxes reduces the net value of the state incentive. ",2,"[70, 557, 494, 752]",44,2016408810175992002,
2016408810175992006,W1006361424,text,"In addition to some question about the measurement of the tax variables, these earlier studies face potential endogeneity issues, as well as with the choice of the DiD design. Since the urgency of obtaining living donors is reduced when there are more plentiful cadaveric donors, and since controlling for cadaveric donors may capture underlying trends in efforts to spur donations generally, it is sensible, as these papers do, to control for cadaveric donations. But the urgency of obtaining cadaveric donations is also reduced when living donations increase, suggesting the two variables may be endogenous to each other. ",2,"[70, 755, 494, 885]",45,2016408810175992002,
2016408810175992007,W1006361424,text,"Further, the enactment of the tax incentives themselves may be correlated either with underlying levels or trends in donations, or both enactment and donation levels may be driven by an unobservable such as the organizational savvy of needy donees. Along these lines, Satel and Hippen (2007) offer an anecdote in which the father of one child in need of a liver leveraged connections with members of Congress to obtain publicity for his daughter’s plight. ",2,"[70, 886, 494, 938]",46,2016408810175992002,
2016408810175992008,W1006361424,text,,2,"[522, 68, 946, 107]",47,2016408810175992002,
2016408810175992009,W1006361424,text,"Finally, we suspect that DiD approaches will be biased and inconsistent because of a failure of the common trends assumption. States that will ultimately enact tax incentive legislation have higher average levels of donations even years before enactment of the legislation. This raises the danger that enacting states may regress to the mean around the time of enactment, violating the DiD assumption that state trends would have been parallel if not for the treatment. Controlling for state-specific trends, as in Lacetera et al. (2014b), will not account for non-linear trends such as meanreversion. Further supporting this inference, pre-enactment trends are not fully parallel, though certainly similar. In some periods the two trend lines are moving in opposite directions. If states are pooled by whether they ever enact any form of organ donor legislation, as in Boulware et al. (2008), then trend lines actually cross prior to the first enactment date. ",2,"[524, 108, 946, 303]",48,2016408810175992002,
2016408810175992010,W1006361424,title,3. Empirical strategy,2,"[524, 319, 667, 331]",49,,1.0
2016408810175992011,W1006361424,title,3.1. Data and sample,2,"[524, 345, 657, 358]",50,2016408810175992010,2.0
2016408810175992012,W1006361424,text,"We use state-level panel data for the period 1988–2012. State data on the number of related and unrelated living adult kidney donors, kidney waiting list additions (candidates) and the number of transplant centers are retrieved from the Organ Procurement and Transplantation Network (OPTN). Aggregate OPTN data on state-by-state number of kidney donors only distinguishes between deceased and living kidney donations and do not report further information on the number of related and unrelated kidney donations. We therefore used state-by-state number of kidney transplant data from the OPTN since every donor can donate only one of his/her kidney. This allowed us to observe the break-down of the number of living kidney donors by donor relation.4 Related donation is composed of donations by blood related child, full sibling, half sibling, identical twin, other relative, parent, spouse and life partner. Unrelated donation are composed of non-biological anonymous donations and other unrelated directed donations only.5 ",2,"[524, 372, 946, 595]",51,2016408810175992011,
2016408810175992013,W1006361424,text,"Total state population and the population over the age of 18 are obtained from the US Census Bureau.6 The number of living related and unrelated kidney donors, the number of deceased kidney donations and the number of transplant centers are measured in per million adult population (pmap) rates and the kidney waiting list additions are measured in per million population (pmp) rates. The prevalence of ESRD pmp is retrieved from the US Renal Data System (USRDS) 2010 Annual Report.7 The real GDP per capita (in 2005 US dollars) and other state fiscal data are obtained from the US Department of Commerce, Bureau of Economic Analysis and the Census Bureau.8 The number of traffic fatalities are retrieved from the National Highway Traffic Safety Administration, Fatality Analysis Reporting System (FARS).9 The number of cerebrovascular deaths are retrieved from CDC-WONDER.10 Both variables are expressed in pmp rates. ",2,"[524, 596, 947, 767]",52,2016408810175992011,
2016408810175992014,W1006361424,discarded,4 See http://optn.transplant.hrsa.gov/. See also Section 4 on the potential consequences of using transplant data for inference. 5 Pairwise kidney exchanges (PKEs) have been excluded from unrelated donations although they are coded as such by OPTN. The reason for excluding PKEs is that the decision to donate by a relative to a biologically unrelated person under pairwise kidney exchange is conditioned upon his/her recipient receiving a kidney from another biologically unrelated person. Thus the motivation under pairwise exchanges is not based upon the same reasons to donate under typical unrelated donations. 6 http://www.census.gov/popest/states.html 7 http://www.usrds.org/reference.htm 8 http://www.bea.gov/regional/gsp/ 9 www.fars.nhtsa.dot.gov/States/StatesFatalitiesFatalityRates.aspx ,2,"[522, 796, 947, 938]",53,2016408810175992011,
2016408810175992015,W1006361424,discarded,"F. Bilgel, B. Galle / Journal of Health Economics 43 (2015) 103–117 ",2,"[346, 44, 672, 54]",54,2016408810175992011,
2016408810175992016,W1006361424,discarded,,2,"[927, 45, 947, 52]",55,2016408810175992011,
2016408810175992017,W1006361424,text,,3,"[52, 68, 475, 94]",56,2016408810175992011,
2016408810175992018,W1006361424,title,3.1.1. Construction of the Tax Variables,3,"[53, 112, 295, 124]",57,2016408810175992011,3.0
2016408810175992019,W1006361424,text,"We hand-collect the details of each state’s tax incentives for organ donation. We double-check our coding against compilations by the National Kidney Foundation,11 TransplantLiving,12 National Conference of State Legislatures,13 Boulware et al. (2008) and Lacetera et al. (2014b). ",3,"[52, 126, 475, 190]",58,2016408810175992018,
2016408810175992020,W1006361424,text,"To generate the true dollar value of the incentives, we employed two alternative methods. Our results are robust to either method. In the simpler approach, we rely primarily on the average state and federal marginal rates facing all taxpayers in each state-year, as calculated by NBER (2013). In the second approach, reflected in our reported results, we generate the average state and federal marginal rate for an itemizing taxpayer in each state-year cell using NBER’s Taxsim calculator. As the inputs for the calculator, we take the weighted mean income, household size, and claimed deductions from state-year aggregates reported by the IRS Statistics of Income. These data are stratified by income band, and we weight the statistics for each band by population and share of itemizers to arrive at an overall state-year weighted average. For states with credits, we omit weighting by share of itemizers, to reflect the fact that credits can be claimed by non-itemizers. ",3,"[53, 190, 475, 387]",59,2016408810175992018,
2016408810175992021,W1006361424,text,"Both state and federal marginal rates affect the final value of the organ donor incentive. State income taxes are deductible from federal taxes, and in some states federal taxes are deductible from the state income tax base. State-level deductions thus reduce state tax but also thereby increase federal tax.14 In the simpler case where state taxes are deductible federally but not vice-versa, the net dollar value of an incentive, I, is therefore $I \tau _ { s } - ( I \tau _ { s } \tau _ { f } ) = ( 1 - \tau _ { f } ) ( I \tau _ { s } )$ where $\tau$ indicates the relevant tax rate. Estimating the value of a credit is more complex, because not all credit claimants need be federal itemizers. Since we cannot observe how many credit claimants itemize, we assume as an approximation that they itemize at the average state rate, and treat the expected federal cost of the credit as the product of the credit’s value and the odds of itemizing. That is, we multiply the federal cost of state credits by the share of federal taxpayers claiming a deduction for state taxes paid in each stateyear cell, and subtract the resulting amount from the value of the credit for each cell. ",3,"[53, 389, 475, 612]",60,2016408810175992018,
2016408810175992022,W1006361424,title,3.1.2. Descriptive statistics,3,"[53, 630, 220, 641]",61,2016408810175992011,3.0
2016408810175992023,W1006361424,text,"Table 1 shows the descriptive statistics for 47 U.S. states. The upper panel shows the descriptive statistics for our first sample in which the treatment (tax incentive legislation) is binary and the lower panel shows the means and standard deviation for our second sample in which the treatment is defined as the true dollar value of the tax incentive. In the upper panel, the column “treatment group” shows means and standard deviations for states and periods in which the tax deduction law has been in force and the column “control group” shows means and standard deviations for states and time periods without the legislation. The column “difference” show the differences in means between the treatment and control group along with the standard errors under the null hypothesis of equal means between the treatment and control observations. ",3,"[53, 643, 475, 786]",62,2016408810175992022,
2016408810175992024,W1006361424,text,,3,"[504, 68, 931, 93]",63,2016408810175992022,
2016408810175992025,W1006361424,text,"In the first sample, states and periods with tax deduction laws have higher per capita income, higher average living related and cadaveric donation rates, but lower waiting list additions and less transplant centers than states and periods without tax incentive legislation. These differences however, are not statistically significant at conventional test levels, as shown in the last column. On the other hand, states and periods with tax deduction laws have statistically and significantly higher living unrelated kidney donation rates and higher prevalence of ESRD, but significantly lower burden of cerebro-vascular diseases. ",3,"[505, 94, 929, 224]",64,2016408810175992022,
2016408810175992026,W1006361424,title,3.2. Tax incentive legislation as a binary exogenous treatment,3,"[505, 239, 887, 252]",65,2016408810175992010,2.0
2016408810175992027,W1006361424,title,3.2.1. Specification,3,"[505, 266, 625, 278]",66,2016408810175992026,3.0
2016408810175992028,W1006361424,text,"We first investigate whether allowing for possible endogeneity in cadaveric donation rates produces results different than prior literature, and for cross-check and verification purposes include baseline results treating cadaveric donations as exogenous. In these specifications, we treat the tax incentive legislation as a binary treatment and specify the following model in the panel data context: ",3,"[505, 279, 929, 370]",67,2016408810175992027,
2016408810175992029,W1006361424,equation,"$$
y _ { i t } = \mu _ { i } + \delta _ { t } + \alpha _ { i } \tau _ { i t } + \gamma D _ { i t } + X _ { i t } ^ { \prime } \beta + \varepsilon _ { i t }
$$",3,"[500, 377, 744, 393]",68,2016408810175992027,
2016408810175992030,W1006361424,text,"where $y _ { i t }$ denote the living kidney donation rates pmap, i denotes the state $i = 1 , . . . , N ,$ t denotes time $t = 1 , . . . , T , \mu _ { i } , \delta _ { t }$ and $\alpha _ { i }$ respectively are the state and year fixed effects and state linear trend effects, $D$ is a binary treatment dummy that takes the value of 1 if the tax incentive legislation is in effect in state i at time $t$ and 0 otherwise, $\beta$ is a $K \times 1$ vector where $K$ is the number time-variant regressors with possibly endogenous elements and $\varepsilon _ { i t }$ is the stochastic disturbance term that comprises idiosyncratic/transitory shocks, measurement errors in $y _ { i t }$ and aggregation errors. $X _ { i t }$ consists of the prevalence of ESRD pmp, the real per capita GDP, the number of transplant centers pmap, the kidney waiting list additions pmp and the cadaveric donation rate pmap. For the moment, we assume that the legislation is exogenous to kidney donations but the cadaveric donation rate may not be exogenous. ",3,"[505, 397, 929, 581]",69,2016408810175992027,
2016408810175992031,W1006361424,text,"To account for the possibility that cadaveric donations may be endogenous to living donations, a source of exogenous variation should be found such that it might plausibly be viewed as randomly moving around cadaveric donations. The likelihood of becoming a deceased donor (in the medical sense) is greater for individuals who have been exposed to situations in which irreversible brain injury resulting in brain death is more likely. Consequently, given medical compatibility, victims of motor vehicle accidents and cerebrovascular diseases are suitable cadaveric donor candidates (Dickert-Conlin et al., 2011). There is no evident relation between these two variables and living donations, except through their impact on cadaveric donations. Therefore, the cerebrovascular death rates and the motor vehicle fatalities are identified as sources of exogenous variation that are conjectured to be correlated with living related or unrelated kidney donation rates through and only through cadaveric donations and that are robust candidates to be treated as instruments. ",3,"[505, 583, 929, 804]",70,2016408810175992027,
2016408810175992032,W1006361424,text,"Bertrand et al. (2004) show that with serially correlated outcome variable, the DiD estimator leads to inconsistent standard errors, serious overestimation of t-statistics and significance levels. The simplest solution to this problem is to ignore the time-series information and compute the standard errors by averaging the data before and after the passage of the legislation and run equation (1) in a panel of length two. However, when the laws are staggered over time as various states passed tax incentive legislation at various points in time, we regress $y _ { i t }$ on state and year fixed effects, linear trends and covariates and then divide the residuals of the states that passed the legislation into two groups and average them for the pre- and the post-legislation period. We then regress these residuals on the treatment dummy in a panel of length two and adjust the standard errors for small sample. ",3,"[505, 807, 929, 938]",71,2016408810175992027,
2016408810175992033,W1006361424,discarded,"10 http://wonder.cdc.gov/controller/datarequest/D72;jsessionid= 2D458CFDCFCF17D2F52A54B2A78D71FF 11 http://www.kidney.org/transplantation/LivingDonors/pdf/LDTaxDed Leave. pdf 12 http://www.transplantliving.org/livingdonation/financialaspects/legislation. aspx 13 http://www.ncsl.org/default.aspx?tabid=13383 14 It is theoretically possible that some taxpayers will choose to itemize at the state level, due to the availability of the organ-donation incentive, but will not itemize federally. If so, our coefficients for the effect of the tax incentive may be slightly attenuated, as we will be somewhat underestimating the value of the incentive. ",3,"[52, 818, 470, 938]",72,2016408810175992027,
2016408810175992034,W1006361424,discarded,"F. Bilgel, B. Galle / Journal of Health Economics 43 (2015) 103–117 ",3,"[327, 44, 653, 54]",73,2016408810175992027,
2016408810175992035,W1006361424,discarded,,3,"[53, 45, 72, 52]",74,2016408810175992027,
